,ClonalityCatFinal,USDAGroup,USDAHabit,USDADuration,PollMode1,DispMode1,Genus,Species,Family,USDACode,WorZ_SppCode,seedmass_mg,dispmass_mg,n_seed_pop,leaf_height_cm,flwr_height_cm,n_height_pop,fresh_mass_g,dry_mass_g,n_leaf_pop,WI_native,WI_C,WI_W,MO_native,MO_C,MO_W,underground,jmclonal,WI_wet,MO_wet,sla,n_sla_pop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,ClonalPhl,Dicot,Forb_herb,Perennial,Butterfly,Unassisted,Echinacea,pallida,Asteraceae,ECPA,WECHPAL,1.706733333,3.341866667,1,62.125,94.525,2,24.285,5.05,2,native,7,5,NA,NA,NA,4,NA,NA,NA,97.80063358,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,ClonalPhl,Monocot,Graminoid,Perennial,NA,Unassisted,Elymus,canadensis,Poaceae,ELCA4,WELYCAN,3.0344,4.8285,2,77.8,97,3,3.52,1.45,3,native,4,3,NA,NA,NA,4,NA,FACU,FACU,155.1529229,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Elymus,repens,Poaceae,ELRE4,WELYREP,1.513266667,5.105733333,2,58.53333333,77.06666667,3,1.55,0.413333333,3,non-native,0,3,NA,NA,NA,4,NA,FACU,FACU,278.136789,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,ClonalPhl,Monocot,Graminoid,NA,Wind,Tumbling,Agrostis,transcaspica,Poaceae,AGTR10,WAGRTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Elymus,virginicus,Poaceae,ELVI3,WELYVIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,-3,NA,NA,NA,4,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,ClonalPhl,Horsetail,Forb_herb,Perennial,VegOnly,Water,Equisetum,arvense,Equisetaceae,EQAR,WEQUARV,NA,NA,NA,NA,NA,NA,0.4255,0.1,2,native,1,0,NA,NA,NA,4,NA,FAC,FAC,178.1358396,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,ClonalPhl,Horsetail,Forb_herb,Perennial,VegOnly,Water,Equisetum,hyemale,Equisetaceae,EQHY,WEQUHYE,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,3,-3,NA,NA,NA,4,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,ClonalPhl,Horsetail,Forb_herb,Perennial,VegOnly,Water,Equisetum,laevigatum,Equisetaceae,EQLA,WEQULAE,0.752,1.247333333,1,77.55,81.65,1,NA,NA,NA,native,2,-3,NA,NA,NA,4,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,ClonalPhl,Dicot,Forb_herb,PB,Bee,Wind,Erigeron,philadelphicus,Asteraceae,ERPH,WERIPHI,NA,NA,NA,20.55,24.825,2,1.486666667,0.218333333,3,native,2,-3,NA,NA,NA,4,NA,FACW,FACU,284.227988,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Erigeron,pulchellus,Asteraceae,ERPU,WERIPUL,0.078,0.083333333,2,28.93333333,37.63333333,3,1.713333333,0.22,3,native,4,3,NA,NA,NA,4,NA,FACU,FACU,342.8439117,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,NonClonal,Dicot,Forb_herb,APB,Bee,Wind,Erigeron,strigosus,Asteraceae,ERST3,WERISTR,0.027533333,0.027966667,2,51.83333333,55.33333333,3,1.451666667,0.283333333,3,native,2,3,NA,NA,NA,1,NA,FACU,FACU,228.3236011,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Eryngium,yuccifolium,Apiaceae,ERYU,WERYYUC,2.544422222,3.0512,3,80.36666667,93.3,3,34.45166667,6.585,3,native,8,0,NA,NA,NA,2,NA,FAC,FAC,110.5746272,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Eupatorium,altissimum,Asteraceae,EUAL3,WEUPALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,4,5,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,NonClonal,Dicot,Forb_herb,Perennial,Bee,Ballistic,Euphorbia,corollata,Euphorbiaceae,EUCO10,WEUPCOR,2.410733333,5.949711111,3,59.43333333,64,3,1.386666667,0.398333333,3,native,4,5,NA,NA,NA,3,NA,NA,NA,138.1926948,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Ant,Euphorbia,cyparissias,Euphorbiaceae,EUCY2,WEUPCYP,NA,NA,NA,29.8,30.6,1,0.345,0.09,1,non-native,0,5,NA,NA,NA,4,NA,NA,NA,254.4333333,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Ballistic,Euphorbia,esula,Euphorbiaceae,EUES,WEUPESU,NA,NA,NA,45.9,48.56666667,3,0.418333333,0.105,3,non-native,0,5,NA,NA,NA,4,NA,NA,NA,217.8949425,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Euthamia,graminifolia,Asteraceae,EUGR5,WEUTGRA,0.014866667,0.055566667,2,67.96666667,68.93333333,3,0.603333333,0.231666667,3,native,4,-3,NA,NA,NA,4,NA,FACW,FAC,103.9050129,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Eutrochium,maculatum,Asteraceae,EUMA9,WEUTMAC,0.209933333,0.296,1,117.7,127.2,3,7.48,1.693333333,3,native,4,-5,NA,NA,NA,4,NA,OBL,FACW,193.0447589,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Eupatorium,perfoliatum,Asteraceae,EUPE3,WEUPPER,0.038,0.1216,1,97.8,101.5,2,4.465,1.155,2,native,6,-5,NA,NA,NA,4,NA,OBL,FACW,196.6797932,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,MammalBird,Fragaria,virginiana,Rosaceae,FRVI,WFRAVIR,0.590733333,486,2,15.66666667,11.76111111,3,7.193333333,1.748333333,3,native,1,3,NA,NA,NA,5,NA,FACU,FACU,216.2042235,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,NonClonal,Dicot,Forb_herb,Biennial,Bee,Unassisted,Gaura,biennis,Onagraceae,GABI2,WGAUBIE,NA,NA,NA,119.5,168.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Adhesive,Galium,boreale,Rubiaceae,GABO2,WGALBOR,0.582933333,0.582933333,1,31.19,35.68666667,3,0.371666667,0.076666667,3,native,5,0,NA,NA,NA,4,NA,FAC,FACU,309.4969006,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Adhesive,Galium,trifidum,Rubiaceae,GATR2,WGALTRI,0.745,0.745,1,NA,NA,NA,NA,NA,NA,native,6,-3,NA,NA,NA,4,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Adhesive,Geum,aleppicum,Rosaceae,GEAL3,WGEUALE,NA,NA,NA,59,60.6,1,15.07,3.705,1,native,3,-3,NA,NA,NA,4,NA,FACW,FAC,189.9792173,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Gentiana,alba,Gentianaceae,GEAL4,WGENALB,NA,NA,NA,63,65.3,1,6.31,1.59,1,native,7,3,NA,NA,NA,3,NA,FACU,FACU,173.1584906,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Gentiana,andrewsii,Gentianaceae,GEAN,WGENAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,-3,NA,NA,NA,3,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,NonClonal,Dicot,Forb_herb,AB,Bee,Wind,Gentianopsis,crinita,Gentianaceae,GECR2,WGENCRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,NA,NA,NA,NA,1,NA,OBL,OBL,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,ClonalPhl,Dicot,Forb_herb,AB,Bee,Ballistic,Geranium,maculatum,Geraniaceae,GEMA,WGERMAC,2.037933333,18.54977778,2,46.19,53.74333333,2,17.12833333,3.486666667,3,native,4,3,NA,NA,NA,1,NA,FACU,FACU,238.9870995,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Gentiana,puberulenta,Gentianaceae,GEPU5,WGENPUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,9,5,NA,NA,NA,3,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,NonClonal,Dicot,Forb_herb,AP,Bee,Wind,Gentianella,quinquefolia,Gentianaceae,GEQU2,WGENQUI,0.1532,0.1532,1,52.6,57.2,1,NA,NA,NA,native,7,0,NA,NA,NA,3,NA,FAC,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Geum,triflorum,Rosaceae,GETR,WGEUTRI,0.774933333,1.434488889,3,22.38888889,25.43333333,3,11.055,3.025,3,native,7,3,NA,NA,NA,4,NA,FACU,NA,125.0131511,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Unassisted,Glechoma,hederacea,Lamiaceae,GLHE2,WGLEHED,NA,NA,NA,10.3,11.2,2,0.4675,0.07,2,non-native,0,3,NA,NA,NA,5,NA,FACU,FACU,397.0479167,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,NonClonal,Dicot,Forb_herb,APB,Bee,Wind,Grindelia,squarrosa,Asteraceae,GRSQ,WGRISQU,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-native,0,3,NA,NA,NA,2,NA,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Hasteola,suaveolens,Asteraceae,HASU3,WHASSUA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,ClonalPhl,Monocot,Forb_herb,Perennial,Butterfly,Unassisted,Hemerocallis,fulva,Liliaceae,HEFU,WHEMFUL,NA,NA,NA,58.8,88.57,1,42.685,6.445,1,non-native,0,5,NA,NA,NA,4,NA,UPL,FACU,181.4339798,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Helianthus,giganteus,Asteraceae,HEGI,WHELGIG,NA,NA,NA,144.4,149.4,1,6.74,1.52,1,native,4,-3,NA,NA,NA,4,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Helianthus,grosseserratus,Asteraceae,HEGR4,WHELGRO,1.348,1.348,1,141.4333333,143.3,3,8.096666667,2.396666667,3,native,2,-3,NA,NA,NA,4,NA,FACW,FACW,118.4486932,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Heliopsis,helianthoides,Asteraceae,HEHE5,WHELHEL,5.8698,5.8698,2,69.13333333,79.7,3,7.463333333,1.671666667,3,native,5,3,NA,NA,NA,4,NA,FACU,FACU,198.2569069,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,NonClonal,Dicot,Forb_herb,Annual,Bee,Unassisted,Hedeoma,hispida,Lamiaceae,HEHI,WHEDHIS,NA,NA,NA,10.325,11.735,2,0.3,0.085,2,native,1,5,NA,NA,NA,1,NA,NA,NA,226.3618056,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,NA,Dicot,NA,NA,NA,NA,Helianthemum,Mill.,Cistaceae,HELIA2,WHELSPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,NonClonal,Dicot,Forb_herb,PB,Bee,Unassisted,Hesperis,matronalis,Brassicaceae,HEMA3,WHESMAT,2.006066667,2.006066667,1,64.57777778,71.02222222,3,5.2575,0.6825,4,non-native,0,3,NA,NA,NA,3,NA,FACU,FACU,345.171264,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,NonClonal,Dicot,Forb_herb,Perennial,Fly,Wind,Heracleum,lanatum,Apiaceae,HEMA80,WHERLAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,FACW,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Unassisted,Helianthus,occidentalis,Asteraceae,HEOC2,WHELOCC,1.7,1.7,1,26.06666667,87.63333333,3,11.50333333,2.681666667,3,native,6,3,NA,NA,NA,5,NA,FACU,UPL,112.9034282,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Helianthus,pauciflorus,Asteraceae,HEPA19,WHELPAU,6.943659524,6.943659524,3,105.1,119.6666667,3,13.44666667,3.103333333,3,native,7,5,NA,NA,NA,4,NA,NA,NA,79.05298741,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Heuchera,richardsonii,Saxifragaceae,HERI,WHEURIC,0.048466667,2.600622222,3,21.00833333,63.81666667,3,12.715,3.175,1,native,7,3,NA,NA,NA,2,NA,FACU,FAC,245.0381102,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,NonClonal,Monocot,Graminoid,Perennial,Wind,Adhesive,Stipa,spartea,Poaceae,HESP11,WSTISPA,22.85397778,44.55555556,3,64.7,81.26666667,3,1.218333333,0.498333333,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,185.7505874,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Helianthus,strumosus,Asteraceae,HEST,WHELSTR,2.169461538,2.169461538,1,112.6433333,116.6133333,3,7.391666667,2.106666667,3,native,4,3,NA,NA,NA,4,NA,FACU,FACU,214.0331558,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Helianthus,tuberosus,Asteraceae,HETU,WHELTUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,2,3,NA,NA,NA,4,NA,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,ClonalPhl,Dicot,Forb_herb,Perennial,Wind,Wind,Hieracium,aurantiacum,Asteraceae,HIAU,WHIEAUR,0.119333333,0.126666667,1,12,42.15,2,6.245,0.995,2,non-native,0,5,NA,NA,NA,4,NA,NA,NA,328.195189,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Hieracium,kalmii,Asteraceae,HIKA2,WHIEKAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Hieracium,longipilum,Asteraceae,HILO2,WHIELON,0.345866667,0.368911111,3,28.7,82.93333333,3,5.15,1.081666667,3,native,6,5,NA,NA,NA,4,NA,NA,NA,195.8041966,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Houstonia,longifolia,Rubiaceae,HOLO,WHOULON,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,5,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,NonClonal,Dicot,Shrub,Perennial,Fly,Unassisted,Hudsonia,tomentosa,Cistaceae,HUTO,WHUDTOM,NA,NA,NA,5.2,9.4,1,0.32,0.035,1,native,8,5,NA,NA,NA,2,NA,NA,NA,118.6571429,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Hypericum,pyramidatum,Clusiaceae,HYAS80,WHYPPYR,0.116666667,0.116666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,FAC,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,NonClonal,Dicot,Forb_herb,Annual,Bee,Wind,Hypericum,canadense,Clusiaceae,HYCA7,WHYPCAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,-3,NA,NA,NA,1,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,NonClonal,Dicot,Forb_herb,Annual,Bee,Wind,Hypericum,gentianoides,Clusiaceae,HYGE,WHYPGEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,3,NA,NA,NA,1,NA,FACU,UPL,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,NonClonal,Monocot,Forb_herb,Perennial,Bee,Unassisted,Hypoxis,hirsuta,Liliaceae,HYHI2,WHYPHIR,0.390066667,0.390066667,1,13.92,9.83,2,0.891666667,0.18,3,native,8,0,NA,NA,NA,3,NA,FAC,FAC,231.5988085,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,ClonalGuer,Dicot,Shrub,Perennial,Bee,Wind,Hypericum,kalmianum,Clusiaceae,HYKA,WHYPKAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,9,-3,NA,NA,NA,5,NA,FACW,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Wind,Hypericum,perforatum,Clusiaceae,HYPE,WHYPPER,0.100977778,0.100977778,3,46.71,49.84666667,3,0.435,0.116666667,3,non-native,0,3,NA,NA,NA,5,NA,FACU,FAC,244.4570063,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Hypericum,punctatum,Clusiaceae,HYPU,WHYPPUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,4,0,NA,NA,NA,4,NA,FAC,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Hypericum,sphaerocarpum,Clusiaceae,HYSP2,WHYPSPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,3,NA,NA,NA,4,NA,FACU,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Hydrophyllum,virginianum,Hydrophyllaceae,HYVI,WHYDVIR,NA,NA,NA,34.27748918,42.03852814,3,16.82366667,2.356666667,3,native,4,0,NA,NA,NA,4,NA,FAC,FAC,334.0817605,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,NonClonal,Dicot,Forb_herb,Annual,Bee,Ballistic,Impatiens,capensis,Balsaminaceae,IMCA,WIMPCAP,7.180666667,7.180666667,1,142.4,148.6,1,2.305,0.406666667,3,native,2,-3,NA,NA,NA,1,NA,FACW,FACW,268.556701,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Wind,Ionactis,linariifolius,Asteraceae,IOLI2,WIONLIN,NA,NA,NA,NA,NA,NA,0.27,0.095,1,native,8,5,NA,NA,NA,5,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,NonClonal,Dicot,Forb_herb,Annual,Bee,Unassisted,Ipomoea,hederacea,Convolvulaceae,IPHE,WIPOHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-native,0,0,NA,NA,NA,1,NA,FAC,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,ClonalPhl,Monocot,Forb_herb,Perennial,Bee,Unassisted,Iris,virginica,Iridaceae,IRVI,WIRIVIR,NA,NA,NA,37.96,43.095,2,7.4,1.21,1,native,5,-5,NA,NA,NA,4,NA,OBL,OBL,129.7578512,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,NonClonal,Gymnosperm,Tree,Perennial,Wind,Bird,Juniperus,virginiana,Cupressaceae,JUVI,WJUNVIR,7.496444444,37.77433333,3,NA,NA,NA,0.311666667,0.265,3,native,3,3,NA,NA,NA,2,NA,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Koeleria,macrantha,Poaceae,KOMA,WKOEMAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,5,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Krigia,biflora,Asteraceae,KRBI,WKRIBIF,0.422733333,0.455133333,1,19.82,40.76,2,5.97,0.7,2,native,4,3,NA,NA,NA,4,NA,FACU,FACU,336.1594712,2
